"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"218","Rameez Shahzad (UAE)","2016-2017","8","8","2","196","49","32.66","156","125.64","0","0","1","17","5",""
"219","Sohail Tanvir (PAK)","2007-2017","57","25","8","196","41","11.52","164","119.51","0","0","2","16","9",""
"220","CR Brathwaite (WI)","2011-2017","22","14","5","195","37*","21.66","143","136.36","0","0","1","10","14",""
"221","Fawad Alam (PAK)","2007-2010","24","17","6","194","28","17.63","169","114.79","0","0","1","7","7",""
"222","Asad Shafiq (PAK)","2010-2012","10","10","0","192","38","19.20","185","103.78","0","0","0","19","2",""
"223","Mukhtar Ahmed (PAK)","2015-2015","6","6","0","192","83","32.00","134","143.28","0","2","0","23","5",""
"224","BA Stokes (ENG)","2011-2017","21","18","5","192","38","14.76","141","136.17","0","0","1","17","8",""
"225","SR Patel (ENG)","2011-2013","18","14","2","189","67","15.75","173","109.24","0","1","2","17","5",""
"226","IR Bell (ENG)","2006-2014","8","8","1","188","60*","26.85","163","115.33","0","1","0","23","2",""
"227","CD McMillan (NZ)","2005-2007","8","7","1","187","57","31.16","117","159.82","0","1","0","8","14",""
"228","SP Patil (UAE)","2014-2016","18","13","0","187","37","14.38","218","85.77","0","0","3","16","4",""
"229","Aizaz Khan (HKG)","2014-2017","23","20","7","186","31","14.30","176","105.68","0","0","2","17","4",""
"230","DAS Gunaratne (SL)","2016-2017","9","9","3","185","84*","30.83","136","136.02","0","2","1","16","6",""
"231","BJ Hodge (AUS)","2007-2014","15","11","4","183","36","26.14","144","127.08","0","0","0","9","7",""
"232","Nazimuddin (BDESH)","2007-2008","7","7","0","178","81","25.42","158","112.65","0","1","2","13","10",""
"233","MJG Rippon (NL)","2013-2017","17","10","3","178","42","25.42","170","104.70","0","0","2","12","1",""
"234","LPC Silva (SL)","2006-2011","16","15","2","175","38","13.46","177","98.87","0","0","0","19","3",""
"235","NN Odhiambo (KENYA)","2007-2013","24","20","2","174","41","9.66","177","98.30","0","0","3","17","4",""
"236","MK Pandey (INDIA)","2015-2017","12","9","1","174","51*","21.75","143","121.67","0","1","2","8","7",""
"237","RE van der Merwe (NL/SA)","2009-2017","24","15","6","174","48","19.33","132","131.81","0","0","1","12","7",""
"238","L Vincent (NZ)","2006-2007","9","9","0","174","42","19.33","174","100.00","0","0","1","17","3",""
"239","R Mutumbami (ZIM)","2015-2016","14","14","3","173","43","15.72","168","102.97","0","0","1","11","8",""
"240","SR Thompson (IRE)","2014-2017","20","14","3","173","56","15.72","124","139.51","0","1","1","15","9",""
"241","RR Hendricks (SA)","2014-2017","9","9","0","172","49","19.11","166","103.61","0","0","2","17","1",""
"242","IK Pathan (INDIA)","2006-2012","24","14","7","172","33*","24.57","144","119.44","0","0","0","9","7",""
"243","GD Elliott (NZ/World)","2009-2017","17","15","4","171","27","15.54","157","108.91","0","0","0","12","2",""
"244","MD Gunathilaka (SL)","2016-2017","8","8","0","169","51","21.12","142","119.01","0","1","0","16","4",""
"245","M Vijay (INDIA)","2010-2015","9","9","0","169","48","18.77","154","109.74","0","0","1","13","8",""
"246","DM de Silva (SL)","2015-2017","7","7","0","167","62","23.85","154","108.44","0","1","0","10","2",""
"247","MD Shanaka (SL)","2015-2017","16","16","1","167","54","11.13","160","104.37","0","1","4","10","11",""
"248","ME Trescothick (ENG)","2005-2006","3","3","0","166","72","55.33","131","126.71","0","2","0","23","1",""
"249","Umar Gul (PAK)","2007-2016","60","27","9","165","32","9.16","156","105.76","0","0","6","11","10",""
